Reference,Value,Footprint,Manufacturer,MPN
BTNEG1,KEYSTONE 54,Vindor:KEYSTONE_54,,Keystone 54
BTPOS1,KEYSTONE 54,Vindor:KEYSTONE_54,,Keystone 54
C1,10 uf,MF_Passives:MF_Passives-C1206,,MF-CAP-1206-10uF
C10,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C11,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C12,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C13,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C14,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C15,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C16,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C17,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C18,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C19,10 uf,MF_Passives:MF_Passives-C1206,,MF-CAP-1206-10uF
C2,1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-1uF
C20,1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-1uF
C21,1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-1uF
C3,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C4,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C5,4.7 uf,MF_Passives:MF_Passives-C0603,,CL10A475KQ8NNNC
C6,4.7 uf,MF_Passives:MF_Passives-C0603,,CL10A475KQ8NNNC
C7,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C8,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
C9,0.1 uf,MF_Passives:MF_Passives-C0603,,MF-CAP-0603-0.1uF
CA1,100 nf,MF_Passives:MF_Passives-C1210,,ECHU1C104JX5
CA2,100 nf,MF_Passives:MF_Passives-C1210,,ECHU1C104JX5
D1,MF-DIO-SMA-B140,MF_Discrete_Semiconductor:MF_Discrete_Semiconductor-SMA,,MF-DIO-SMA-B140
D2,MF-LED-0603-RED,MF_LEDs:MF_LEDs-LED0603,,MF-LED-0603-RED
D3,LED_RGB_CA_PLCC4,MF_LEDs:MF_LEDs-PLCC4,,MF-LED-ASMB-RGB
FB1,BLM21AG601SN1D,Inductor_SMD:L_0805_2012Metric,,742792040
FB2,BLM21AG601SN1D,Inductor_SMD:L_0805_2012Metric,,742792040
FB3,BLM21AG601SN1D,MF_Passives:MF_Passives-C0805,,BLM21AG601SN1D
FB4,BLM21AG601SN1D,MF_Passives:MF_Passives-C0805,,BLM21AG601SN1D
FB5,BLM21AG601SN1D,MF_Passives:MF_Passives-C0805,,BLM21AG601SN1D
J1,10137062-00021LF,Vindor:USBC_10137062-00021LF,,10137062-00021LF
J2,35RASMT4BHNTRX,35RASMT4BHNTRX:SWITCHCRAFT_35RASMT4BHNTRX,,35RASMT4BHNTRX
J3,B2B-PH-SM4-TB(LF)(SN),digikey-footprints:PinHeader_1x2_P2mm,,B2B-PH-SM4-TB(LF)(SN)
J4,47309-3351,Vindor:MOLEX_MICROSD_473093351,,47309-3351
J5,2.54mm 01x08 Female,MF_Connectors:MF_Connectors-PTH_2.54MM_01X08,,PPTC081LFBN-RC
J8,Conn_01x02_Male,MF_Connectors:MF_Connectors-PTH_2.54MM_01X02,,
JX1,S9111-45R,Vindor:HARWIN_S9111_45R,,S9111-45R
JX2,S9111-45R,Vindor:HARWIN_S9111_45R-TIGHT,,S9111-45R
R1,27 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-27
R10,47 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-47
R11,220 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-220
R12,470 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-470
R13,100 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-100
R14,100 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-100
R15,100 ohm,MF_Passives:MF_Passives-R0603,,MF-RES-0603-100
R16,10k ohm,MF_Passives:MF_Passives-L0603,,MF-RES-0603-10K
R17,10k ohm,MF_Passives:MF_Passives-L0603,,MF-RES-0603-10K
